PIE Persistent Information Exchange
CREA CreativeChain
WISC WisdomCoin
BVC BeaverCoin
FIND FindCoin
MLITE MeLite
STALIN StalinCoin
TSE TattooCoin
VLTC VaultCoin
BIOB BioBar
SWT Swarm City Token
PASL Pascal Lite
ZER Zero
CDN Canada eCoin
TPAY TrollPlay
NETKO Netko
ZOI Zoin
HONEY Honey
MUSIC Musicoin
DTB Databits
VEG BitVegan
MBIT Mbitbooks
VOLT BitVolt
MGO MobileGo
EDG Edgeless
B@ BankCoin
BEST BestChain
ZENI Zennies
PLANET PlanetCoin
DUCK DuckDuckCoin
BNX BnrtxCoin
BSTK BattleStake
DBIX DubaiCoin
AMIS AMIS
XVP VirtacoinPlus
BOAT Doubloon
TAJ TajCoin
IMX Impact
CJC CryptoJournal
AMY Amygws
QBT Cubits
SRC* StarCredits
EB3 EB3coin
XVE The Vegan Initiative
FAZZ FazzCoin
APT Aptcoin
BLAZR BlazerCoin
ARPA ArpaCoin
BNB* Boats and Bitches
UNI Universe
ECO ECOcoin
DARK Dark
RLC iEx.ec
ATMS Atmos
INPAY InPay
VISIO Visio
GOT Giotto Coin
CXT Coinonat
EMPC EmporiumCoin
GNO Gnosis
LGD Legends Cryptocurrency
TAAS Token as a Service
BUCKS SwagBucks
XBY XtraBYtes
GUP Guppy
MCRN MacronCoin
LUN Lunyr
WSX WeAreSatoshi
IEC IvugeoEvolutionCoin
IMS Independent Money System
CNT Centurion
LMC LomoCoin
TKN TokenCard  
BTCS Bitcoin Scrypt
PROC ProCurrency
XGR GoldReserve
WRC* WarCoin
HMQ Humaniq
BCAP Blockchain Capital
DUO ParallelCoin
GRW GrowthCoin
APX Apx
MILO MiloCoin
OLV OldV
ILC ILCoin
PZM Prizm
PHR Phreak
ANT Aragon
PUPA PupaCoin
RICE RiceCoin
XCT C-Bits
DEA Degas Coin
RED Redcoin
ZSE ZSEcoin
CTIC Coinmatic
TAP TappingCoin
BITOK BitOKX
MUU MilkCoin
INF8 Infinium-8
MNE Minereum
DICE Etheroll
SUB* Subscriptio
USC Ultimate Secure Cash
DUX DuxCoin
XPS PoisonIvyCoin
EQT EquiTrader
INSN Insane Coin
BAT Basic Attention Token
MAT* Manet Coin
F16 F16Coin
HAMS HamsterCoin
QTUM QTUM
NEF NefariousCoin
ZEN ZenCash
BOS BOScoin
QWARK Qwark
IOT IOTA
QRL Quantum Resistant Ledger
ADL Adelphoi
PTOY Patientory
LKK Lykke
ESP Espers
MAD SatoshiMadness
DYN Dynamic
SEQ Sequence
MCAP MCAP
MYST Mysterium
VERI Veritaseum
SNM SONM
SKY Skycoin
CFI Cofound.it
SNT Status Network Token
AVT AventCoin
CVC Civic
IXT iXledger
DENT Dent
BQX Ethos
STA Starta
TFL True Flip Lottery
XTZ Tezos
MCO Monaco
NMR Numerai
ADX AdEx
QAU Quantum
ECOB EcoBit
PLBT Polybius
USDT Tether
AHT Ahoolee
ATB ATB coin
TIX Blocktix
CHAN ChanCoin
CMP Compcoin
RVT Rivetz
HRB Harbour DAO
NET* Nimiq Exchange Token
8BT 8 Circuit Studios
CDT CoinDash
DNT district0x
SUR Suretly
MIV MakeItViral
BET* DAO.casino
SAN Santiment
KIN Kin
XEL Elastic
NVST NVO
FUN FunFair
FUNC FunCoin
PQT PAquarium
WTT Giga Watt
MTL Metal
HVN Hive Project
MYB MyBit
PPT Populous
SNC SunContract
STAR Starbase
COR Corion
XRL Rialto.AI
OROC Orocrypt
OAX OpenANX
DDF Digital Developers Fund
GGS Gilgam
DNA Encrypgen
FYN FundYourselfNow
DCY Dinastycoin
CFT CryptoForecast
DNR Denarius
VUC Virta Unique Coin
BTPL Bitcoin Planet
UNIFY Unify
IPC ImperialCoin
BRIT BritCoin
AMMO Ammo Rewards
SOCC SocialCoin
MASS Mass.Cloud
IML IMMLA
XUC Exchange Union
STU BitJob
PLR Pillar
GUNS GeoFunders
IFT InvestFeed
CAT* BitClave
PRO Propy
SYC SynchroCoin
IND Indorse
TRIBE TribeToken
ZRX 0x
TNT Tierion
PRE* Presearch
COSS COSS
STORM Storm
STORJ Storj
OMG OmiseGo
OTX Octanox
EQB Equibit
VOISE Voise
ETBS EthBits
CVCOIN Crypviser
DRP DCORP
BOG Bogcoin
NDC NeverDie
POE Po.et
ADT AdToken
AE Aeternity
UET Useless Ethereum Token
PART Particl
AGRS Agoras Token
SAND BeachCoin
DMT DMarket
DAS DAS
ADST Adshares
CAT BlockCAT
XCJ CoinJob
RKC Royal Kingdom Coin
NLC2 NoLimitCoin
LINDA Linda
ANCP Anacrypt
RCC Reality Clash
SNK Sosnovkino
CABS CryptoABS
OPT Opus
ZNT OpenZen
BITSD Bits Digit
XLC LeviarCoin
SKIN Skincoin
MSP Mothership
HIRE HireMatch
BBT* BrickBlock
REAL REAL
DFBT DentalFix
EQ EQUI
WLK Wolk
VIB Viberate
ONION DeepOnion
BTX Bitcore
ICE iDice
XID Sphre AIR
ATOM* Cosmos
MANA Decentraland
ICOO ICO OpenLedger
TME Timereum
SMART SmartCash
SIGT Signatum
ONX Onix
ARENA Arena
WINK Wink
BCH Bitcoin Cash / BCC
DGPT DigiPulse
CSNO BitDice
KICK KickCoin
SDAO Solar DAO
STX Stox
BNB Binance Coin
KCN Kencoin
QVT Qvolta
TIE Ties Network
AUT Autoria
CTT CodeTract
GRWI Growers International
MTH Monetha
CCC CCCoin
UMC Umbrella Coin
BMXT Bitmxittz
GAS Gas
FIL FileCoin
OCL Oceanlab
BNC Benjacoin
TOM Tomahawkcoin
BTM* Bytom
XAS Asch
DCN Dentacoin
DLT Agrello Delta
MRV Macroverse
MBRS Embers
SUB Substratum Network
MET Memessenger
NEBL Neblio
PGL Prospectors
AUTH Authoreon
CASH* Cash Poker Pro
DTCT DetectorToken
CTR Centra
PRG Paragon
THNX ThankYou
WORM HealthyWorm
FUCK Fuck Token
VNT Veredictum
SIFT Smart Investment Fund Token
IGNIS Ignis
IWT IwToken
JDC JustDatingSite
ITT Intelligent Trading Technologies
AIX Aigang
EVX Everex
ENTRP Entropy Token
ICOS ICOBox
PIX Lampix
MEDI MediBond
HGT Hello Gold
LTA Litra
NIMFA Nimfamoney
SCOR Scorista
MLS CPROP
KEX KexCoin
COB Cobinhood
ATL ATLANT
ARI* BeckSang
MAG* Magos
DFT Draftcoin
VEN Vechain
LAT Latium
SOJ Sojourn Coin
HDG Hedge Token
STCN Stakecoin
SQP SqPay
RIYA Etheriya
LNK Ethereum.Link
AMB Ambrosus
WAN Wanchain
MNT GoldMint
CFT* Credo
BLX Blockchain Index
BKX BANKEX
BOU Boulle
OXY Oxycoin
AMT Acumen
GIM Gimli
NYC NewYorkCoin
LBTC LiteBitcoin
FRAZ FrazCoin
EMT EasyMine
GXC Gx Coin
HBT Hubiit
KRONE Kronecoin
SRT Scrypto
AVA Avalon
ACC AdCoin
Z2 Z2 Coin
LINX Linx
BLAS BlakeStar
GOOD GoodCoin
SCL Social Nexus
TRV Travel Coin
CRTM Cryptum
EON Exscudo
PST Primas
PRIX Privatix
CTX CarTaxi
ENJ Enjin Coin
CNX Cryptonex
DRC Dropcoin
FUEL Etherparty
ACE TokenStars
UCASH U.CASH
WRT WRTcoin
ORME Ormeus Coin
DEEP Deep Gold
TMT ToTheMoon
CCT* Crystal Clear Token 
WSH Wish Finance
ARNA* ARNA Panacea
ABC AB-Chain
PRP Papyrus
BMC Blackmoon Crypto
SKR* Skrilla Token
3DES 3DES
PYN Paycentos
KAPU Kapu
FC Facecoin
RCN Ripio
NRN Doc.ai Neuron
EVC Eventchain
LINK ChainLink
WIZ Crowdwiz
EDO Eidoo
ATKN A-Token
KNC Kyber Network
RUSTBITS Rustbits
REX REX
ETHD Ethereum Dark
TRX Tronix
H2O Hydrominer
TKT Crypto Tickets
RHEA Rhea
ART Maecenas
DRT DomRaider
SNOV Snovio
DTT DreamTeam Token
STOCKBET StockBet
PLM Algo.Land
SALT Salt Lending
SND Sandcoin
LRC Loopring
ZNA Zenome
EZM EZMarket
ODN Obsidian
POLL ClearPoll
MTK Moya Token
CAS Cashaa
MAT MiniApps
GJC Global Jobcoin
WIC Wi Coin
WEB Webcoin
WAND WandX
ELIX Elixir
HAC Hackspace Capital
ADA Cardano
YOYOW Yoyow
REC Regalcoin
BIS Bismuth
OPP Opporty
ROCK Ice Rock Mining
ICX ICON Project
WISH* WishFinance
FLASH FLASH coin
GRF* Graft Blockchain
BTCZ BitcoinZ
CZC Crazy Coin
PPP PayPie
GUESS Peerguess
CAN CanYaCoin
ETP Metaverse
CIX Cryptonetix
ERT Esports.com
BAC* LakeBanker
FLIK FLiK
TRIP Trippki
MBT Multibot
JVY Javvy
ALIS ALISmedia
LEV Leverj
ARBI Arbi
